record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.680980,0.256374,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.805950,0.247233,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,4.982720,0.247778,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.036077,0.257143,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
15,Voltage_DUT_PP12V0,11.3,12.3,V,11.771204,0.247173,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
16,nor_flash,PASS,PASS,,PASS,6.088395,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
17,lock_status,PASS,PASS,,PASS,5.066503,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
18,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.319776,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
19,unlock_status,PASS,PASS,,PASS,5.077598,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
20,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.333591,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
21,triangle_nfc,PASS,PASS,,PASS,4.081317,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
22,ui_nfc,PASS,PASS,,PASS,4.097400,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
23,speaker,PASS,PASS,,PASS,2.471952,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
24,speaker_timeout,PASS,PASS,,PASS,7.175325,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
25,flip_dot,PASS,PASS,,PASS,0.966486,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
26,flip_dot_timeout,PASS,PASS,,PASS,5.441056,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
27,se,PASS,PASS,,PASS,8.053542,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
28,Can_Data_Send,PASS,PASS,,PASS,2.876017,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
29,Can_Data_Recv,PASS,PASS,,PASS,11.941726,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
30,TST_SOLAR_L,PASS,PASS,,PASS,5.083498,PASS,FAIL,101086,FK2316MMBP2AA0199,2023-05-04 09:50:39,2023-05-04 09:54:15,STT234MM01,monolith_main_bft,10023100
